Type,Code,Description
0,0,Echo reply
3,0,Destination network unreachable
3,1,Destination host unreachable
3,2,Destination protocol unreachable
3,3,Destination port unreachable
3,4,Fragmentation required and DF flag set
3,5,Source route failed
3,6,Destination network unknown
3,7,Destination host unknown
3,8,Source host isolated
3,9,Network administratively prohibited
3,10,Host administratively prohibited
3,11,Network unreachable for TOS
3,12,Host unreachable for TOS
3,13,Communication administratively prohibited
4,0,Source quench
5,0,Redirect Datagram for the Network
5,1,Redirect Datagram for the Host
5,2,Redirect Datagram for the TOS and network
5,3,Redirect Datagram for the TOS and host
8,0,Echo request
9,0,Router advertisement
10,0,Router discovery/selection/solicitation
11,0,TTL expired in transit
11,1,Fragment reassembly time exceeded
12,0,Pointer indicates IP header error
12,1,Missing a required IP option
12,2,Bad IP length
13,0,Timestamp
14,0,Timestamp reply
15,0,Information request
16,0,Information reply
17,0,Address mask request
18,0,Address mask reply
